匚	a
瘥	cfoue
粢	cfouo
次	cfu
充	cfua
鹑	cfuae
痴	cfue
犨	cfuei
疮	cfuo
卒	cfuoe
痤	cfuoei
差	cg
兹	cga
冁	cgae
煁	cge
曾	cgi
粗	cgia
灿	cgiai
单	cgiaii
炽	cgiau
焯	cgie
炒	cgiu
慈	cgo
粹	cgoe
糍	cgou
炊	cgu
鹚	cgua
歘	cguau
糙	cgue
熜	cgui
从	ch
仓	cha
伺	chae
传	che
丛	chee
俦	cheee
爨	chei
臭	cheu
创	chi
促	chia
俶	chiaa
侧	chiai
倡	chiaia
偲	chiao
催	chiau
川	chii
偿	chio
储	cho
雠	choa
侪	choe
隹	choee
魑	choei
佽	choeu
侘	choo
仇	chu
囱	chua
傺	chuae
鸧	chuaee
侈	chuau
儳	chuaua
伥	chue
倕	chuee
伧	chuo
偁	chuoi
车	ci
辍	cia
邨	ciai
晨	cie
辏	ciee
晟	cieu
昌	cii
臣	ciia
旵	ciiai
虿	ciiao
匙	ciu
晁	ciuo
吃	cj
嗤	cja
呎	cjae
啜	cjao
采	cje
呈	cjee
踌	cjeee
嘲	cjei
躇	cjeie
喳	cjeii
嘈	cjeiia
蹅	cjeiia
吋	cjeio
瓻	cjeioo
哧	cjeiu
嗔	cjeiuo
豺	cjeiuu
蹰	cjeu
唱	cji
喘	cjia
踹	cjiae
嘬	cjiaei
岔	cjiai
汆	cjiao
肏	cjiau
呲	cjie
踔	cjiei
跐	cjieu
刹	cjii
吵	cjiu
蹲	cjo
逞	cjoa
蹴	cjoe
噇	cjoei
躔	cjoeia
啐	cjoeu
嚓	cjoo
蹿	cjooi
蹭	cjou
蹉	cjoue
噌	cjoui
彩	cju
吹	cjua
叱	cjuaa
鬯	cjuaaa
踟	cjue
踩	cjuo
趻	cjuoo
处	ck
刍	cka
猜	cke
舛	ckea
册	ckee
	ckeei
猹	ckei
馇	ckeii
触	cki
猖	ckia
鲳	ckiai
鲿	ckio
匆	cko
猝	ckoe
雏	cku
馋	ckua
鸱	ckuae
饬	ckue
种	cliai
笞	cla
酂	clai
	clao
重	cle
垂	clee
筹	cleee
策	clei
秤	cleo
程	cli
篡	clia
乘	clie
长	cl
愁	cloa
辞	clo
簇	cloe
称	clu
稠	clua
掣	clue
毳	clueu
氚	clui
矬	cluo
篪	cluu
船	cm
彻	cme
舡	cmei
艚	cmeii
徜	cmi
徂	cmia
斶	cmiau
彳	cmii
斥	cmo
惩	cmoa
艟	cmoe
舱	cmu
场	cn
超	cna
墀	cnae
媸	cnai
城	cne
堾	cnee
嫦	cni
娼	cnia
埕	cniae
赪	cnie
埫	cnio
姹	cno
垞	cnoo
婵	cnou
赤	cnu
坻	cnua
趁	cnuo
坼	cnuu
春	co
玚	coa
漦	coe
瑃	coee
珹	coeu
蚕	coi
蠢	coia
珵	coiae
璀	coiau
璨	coie
玼	coieu
亍	coii
刬	coiii
耖	coiu
琛	coo
珫	cooe
琮	cooo
瑳	coou
舂	cou
琤	coua
璁	coui
成	cp
存	cpa
础	cpai
碜	cpao
残	cpe
臧	cpea
砗	cpeai
辰	cpee
厨	cpei
碴	cpeii
厝	cpeiia
礤	cpeiu
唇	cpi
盛	cpia
殂	cpiae
厕	cpiai
蹙	cpiaie
磁	cpo
磋	cpou
厂	cpu
此	cr
钗	cra
错	cre
柴	crei
镡	creii
铖	creu
锄	cri
龊	cria
锠	criai
觇	criau
铛	crio
钞	criu
铲	cro
逴	croa
铳	croe
镩	croo
镲	croou
粲	crou
鹾	croue
餐	cru
镵	crua
龀	cruaa
锤	crue
锸	cruee
雌	crui
钏	cruii
齿	cruo
锉	cruoe
察	cs
惨	csa
惙	csao
憕	csaoe
怊	csau
穿	cse
惭	csea
忖	csei
憷	cseia
怵	cseio
宠	cseu
宸	cseue
宬	cseuo
窜	csi
忡	csia
恻	csiai
惝	csio
憧	cso
忱	csoa
悴	csoe
悰	csoo
窗	csu
惆	csua
	csuaa
怅	csue
忏	csuei
怆	csuo
测	ct
池	cta
潺	ctae
滁	ctai
澄	ctao
汊	ctaoo
潮	cte
尘	ctei
